"","staid","LakeElevFt","Date","qualcode","LakeElev_m","DBL_elev_N","DBL_elev_S","DBL_vol_N_m3","DBL_vol_S_m3","DBL_vol_total_m3","UBL_vol_m3","GB_vol_m3","DBL_vol_acreft","UBL_vol_acreft","GB_vol_acreft"
"2372","10010000",4193.88,2016-06-29,"A",1278.29458309457,1272.21696075785,1271.02763808049,263915766.304688,106468970.015625,370384736.320312,7555246543.08594,7925631279.40625,300276.091121186,6125144.14593137,6425420.23705256
"2373","10010000",4193.94,2016-06-30,"A",1278.31287109399,1272.23582720669,1271.0473238317,267767551.25,112272212.109375,380039763.359375,7576559247,7956599010.35938,308103.556712132,6142422.65337236,6450526.21008449
"2374","10010000",4193.86,2016-07-01,"A",1278.28848709477,1272.21067194158,1271.02107616342,262637691.835938,104547408.53125,367185100.367188,7548136265.63281,7915321366,297682.101459084,6119379.74445624,6417061.84591532
"2375","10010000",4193.84,2016-07-02,"A",1278.28239109496,1272.2043831253,1271.01451424635,261362544.3125,102632273.375,363994817.6875,7541022966.71875,7905017784.40625,295095.694626704,6113612.89344042,6408708.58806713
"2376","10010000",4193.79,2016-07-03,"A",1278.26715109545,1272.1886610846,1270.99810945368,258187480.820312,97872550.484375,356060031.304688,7523226500.78906,7879286532.09375,288662.852219148,6099185.0493607,6387847.90157985
"2377","10010000",4193.8,2016-07-04,"A",1278.27019909535,1272.19180549274,1271.00139041221,258821030.039062,98821281.9375,357642311.976562,7526787304.69531,7884429616.67188,289945.629311767,6102071.84293876,6392017.47225052
"2378","10010000",4193.84,2016-07-05,"A",1278.28239109496,1272.2043831253,1271.01451424635,261362544.3125,102632273.375,363994817.6875,7541022966.71875,7905017784.40625,295095.694626704,6113612.89344042,6408708.58806713
"2379","10010000",4193.85,2016-07-06,"A",1278.28543909487,1272.20752753344,1271.01779520489,261999752.203125,103589037.6875,365588789.890625,7544579993.875,7910168783.76562,296387.950207388,6116496.62515438,6412884.57536176
"2380","10010000",4193.8,2016-07-07,"A",1278.27019909535,1272.19180549274,1271.00139041221,258821030.039062,98821281.9375,357642311.976562,7526787304.69531,7884429616.67188,289945.629311767,6102071.84293876,6392017.47225052
"2381","10010000",4193.68,2016-07-08,"A",1278.23362309652,1272.15407259507,1270.96201890979,251266733.609375,87542538.625,338809272.234375,7484007804.25,7822817076.48438,274677.420330219,6067389.90301473,6342067.32334495
"2382","10010000",4193.66,2016-07-09,"A",1278.22752709672,1272.14778377879,1270.95545699272,250017928.46875,85685240.09375,335703168.5625,7476867312.54688,7812570481.10938,272159.258597979,6061601.00642413,6333760.26502211
"2383","10010000",4193.81,2016-07-10,"A",1278.27324709526,1272.19494990088,1271.00467137075,259455311.015625,99771619.9375,359226930.953125,7530347353.21875,7889574284.17188,291230.302100732,6104958.02411739,6396188.32621812
"2384","10010000",4193.64,2016-07-11,"A",1278.22143109691,1272.14149496251,1270.94889507565,248772050.25,83834367.890625,332606418.140625,7469723799.39062,7802330217.53125,269648.679676459,6055809.66029917,6325458.33997563
"2385","10010000",4193.61,2016-07-12,"A",1278.21228709721,1272.13206173809,1270.93905220005,246908720.914062,81070108.859375,327978829.773438,7459002864.49219,7786981694.26562,265897.029000943,6047118.04828392,6313015.07728486
"2386","10010000",4193.64,2016-07-13,"A",1278.22143109691,1272.14149496251,1270.94889507565,248772050.25,83834367.890625,332606418.140625,7469723799.39062,7802330217.53125,269648.679676459,6055809.66029917,6325458.33997563
"2387","10010000",4193.6,2016-07-14,"A",1278.2092390973,1272.12891732995,1270.93577124151,246289074.617188,80151902.28125,326440976.898438,7455427708.83594,7781868685.73438,264650.27014524,6044219.61954122,6308869.88968646
"2388","10010000",4193.59,2016-07-15,"A",1278.2061910974,1272.12577292181,1270.93249028298,245670160.03125,79235302.34375,324905462.375,7451851797.76562,7776757260.14062,263405.407023886,6041320.57837376,6304725.98539765
"2389","10010000",4193.59,2016-07-16,"A",1278.2061910974,1272.12577292181,1270.93249028298,245670160.03125,79235302.34375,324905462.375,7451851797.76562,7776757260.14062,263405.407023886,6041320.57837376,6304725.98539765
"2390","10010000",4193.59,2016-07-17,"A",1278.2061910974,1272.12577292181,1270.93249028298,245670160.03125,79235302.34375,324905462.375,7451851797.76562,7776757260.14062,263405.407023886,6041320.57837376,6304725.98539765
"2391","10010000",4193.38,2016-07-18,"A",1278.14218309945,1272.05974035089,1270.92582600001,232841984.195312,77378450.328125,310220434.523438,7359562550.02344,7669782984.54688,251500.049354234,5966500.3931797,6218000.44253394
